#,gameName,StreamTime,TimeShare,AvgViewers,MaxViewers,FollowersPhr,LastSeen
1,DARK SOULS III,82.3,11.1,8,15,0.1,25/Dec/2024
2,Sekiro: Shadows Die Twice,55.5,7.5,7,13,0,23/Jul/2025
3,DARK SOULS II: Scholar of the First Sin,52.7,7.1,8,16,0.1,04/Nov/2024
4,ELDEN RING,52.6,7.1,8,13,0,19/Jun/2025
5,Dark Souls: Remastered,41.1,5.5,7,11,0,11/Oct/2024
6,NieR: Automata,33.0,4.4,8,12,0,23/Jan/2025
7,Gothic II,26.5,3.6,6,7,0,14/Aug/2024
8,RimWorld,22.9,3.1,9,13,0.2,16/May/2025
9,Resident Evil,21.6,2.9,7,9,0,30/Jan/2025
10,Cult of the Lamb,21.5,2.9,9,13,0.1,13/Jun/2025
11,Just Chatting,21.2,2.9,9,16,0.1,20/Jul/2025
12,Hollow Knight,20.9,2.8,6,9,0,19/Sep/2024
13,Noita,19.7,2.6,9,14,0.1,08/Jul/2025
14,Subnautica,19.0,2.6,8,12,0.1,14/Mar/2025
15,Blasphemous,17.0,2.3,7,8,0,26/Dec/2024
16,Ori and the Blind Forest,15.7,2.1,8,11,0,04/Apr/2025
17,My Summer Car,13.7,1.8,8,13,0.2,15/Jan/2025
18,The Elder Scrolls III: Morrowind,13.5,1.8,8,11,0.1,07/Feb/2025
19,Project Zomboid,12.7,1.7,9,12,0.1,31/May/2025
20,Dark Souls II,12.4,1.7,6,8,0,17/Oct/2024
21,Gothic,11.6,1.6,7,10,0,29/Jun/2024
22,Inscryption,11.0,1.5,6,7,0,29/Oct/2024
23,Dark Messiah of Might and Magic,11.0,1.5,5,6,0,18/Jul/2025
24,Detroit: Become Human,10.7,1.4,11,16,0.1,27/Jun/2025
25,The Elder Scrolls IV: Oblivion Remastered,10.4,1.4,8,10,0,25/Apr/2025
26,Resident Evil 2,10.1,1.4,8,11,0,25/May/2025
27,Fran Bow,8.9,1.2,6,8,0,17/Mar/2025
28,Kingdom Come: Deliverance,8.4,1.1,5,6,0,15/Sep/2024
29,Outer Wilds,7.9,1.1,7,9,0,06/Jun/2025
30,Harry Potter and the Chamber of Secrets,6.4,0.9,6,7,0,27/Dec/2024
31,Katana ZERO,5.9,0.8,9,13,0.2,21/May/2025
32,Drive Beyond Horizons,5.8,0.8,8,12,0.2,30/Apr/2025
33,Cuphead,5.5,0.7,5,5,0,11/Sep/2024
34,Transistor,5.1,0.7,9,13,0,12/May/2025
35,Variety,5.0,0.7,5,6,0,18/Nov/2024
36,To the Moon,4.5,0.6,9,13,0.2,20/Apr/2025
37,BUCKSHOT ROULETTE,3.7,0.5,5,5,0,08/Sep/2024
38,The Binding of Isaac: Repentance,3.7,0.5,8,10,0,12/Jan/2025
39,MiSide,3.6,0.5,6,9,0,09/Jan/2025
40,Factorio,3.6,0.5,5,5,0,09/Nov/2024
41,GRIS,3.4,0.5,7,10,0,14/Oct/2024
42,Hades,3.0,0.4,7,8,0.3,15/Mar/2025
43,Path of Exile 2,2.6,0.3,5,6,0,25/Apr/2025
44,Liar's Bar,2.5,0.3,6,10,0,11/Jan/2025
45,AI LIMIT,2.5,0.3,9,11,0,23/Mar/2025
46,Minecraft,2.1,0.3,7,9,0,13/Jul/2025
47,Backpack Battles,1.8,0.2,6,7,0,12/Apr/2024
48,Pacific Drive,1.6,0.2,6,8,0,05/Mar/2025
49,Gothic 1 Remake,1.6,0.2,8,9,0,24/Feb/2025
50,Yume Nikki,1.2,0.2,11,14,0,18/May/2025
51,This War of Mine,0.9,0.1,7,9,0,13/Oct/2024
52,Rain World,0.8,0.1,10,10,0,16/Feb/2025
53,Games + Demos,0.8,0.1,10,13,0,30/Apr/2025
54,A Difficult Game About Climbing,0.1,0,14,14,0,15/Jan/2025
55,HAAK,0.1,0,7,7,0,27/Dec/2024
